index,IN,lat,lon
259,35541.0,40.689636,-73.953459
260,20689.0,40.673714,-73.996139
261,11263.0,40.589547,-73.974295
262,65632.0,40.747224,-73.99336
263,39544.0,40.826426,-73.950412
264,34562.0,40.855176,-73.929384
265,27171.0,40.858389,-73.903828
266,66005.0,40.742624,-73.953545
267,18445.0,40.667879,-73.950648
268,12365.0,40.660481,-73.998059
269,32374.0,40.706636,-73.922925
270,20465.0,40.859022,-73.93419
271,39429.0,40.775545,-73.976398
272,54118.0,40.726202,-74.003627
273,20188.0,40.68617,-73.973908
274,23514.0,40.683263,-73.965838
275,21016.0,40.603983,-73.755383
276,25051.0,40.694568,-73.949046
277,21941.0,40.688855,-73.960025
278,48747.0,40.666276,-73.980324
279,25487.0,40.650722,-73.975818
280,62461.0,40.728202,-74.005344
281,62024.0,40.744558,-73.930993
282,17225.0,40.878656,-73.838596
283,228243.0,40.750264,-73.992984
284,31795.0,40.706148,-73.93316
285,19419.0,40.688676,-73.903999
286,14908.0,40.835957,-73.939898
287,26735.0,40.681159,-73.956056
288,31603.0,40.752898,-73.905973
289,18862.0,40.7061,-73.950348
290,71080.0,40.723291,-73.989873
291,40789.0,40.699756,-73.98689
292,65435.0,40.763625,-73.977449
293,40729.0,40.7541,-73.94258
294,45521.0,40.70784,-74.013691
295,17935.0,40.884821,-73.900759
296,15018.0,40.813208,-73.929877
297,24391.0,40.844406,-73.914621
298,26125.0,40.848635,-73.912497
299,46889.0,40.75176,-73.855183
300,13737.0,40.720315,-73.994014
301,9012.0,40.576152,-73.975925
302,8801.0,40.682558,-73.905501
303,20220.0,40.796105,-73.961399
304,16767.0,40.829934,-73.938632
305,12478.0,40.700374,-73.950284
306,23919.0,40.688123,-73.966742
307,23505.0,40.68713,-73.975346
308,58812.0,40.764763,-73.966291
309,24865.0,40.722819,-74.006267
310,36692.0,40.741096,-73.997877
311,46515.0,40.722397,-73.997211
312,41835.0,40.79911,-73.951807
313,52007.0,40.802098,-73.949625
314,7573.0,40.826508,-73.886425
315,5543.0,40.83646,-73.846471
316,27967.0,40.744103,-73.912497
317,12987.0,40.754622,-73.845625
318,10124.0,40.854137,-73.860977
319,30981.0,40.733243,-73.987169
320,11819.0,40.830551,-73.941486
321,24872.0,40.817902,-73.947644
322,26036.0,40.805072,-73.954833
323,31477.0,40.800637,-73.958201
324,9953.0,40.590867,-73.797011
325,10748.0,40.592334,-73.788493
326,2832.0,40.593214,-73.776433
327,4315.0,40.595381,-73.768194
328,19877.0,40.75202,-73.92874
329,15906.0,40.749663,-73.898485
330,15848.0,40.718477,-73.837223
331,21119.0,40.702566,-73.816859
332,24198.0,40.719323,-74.006953
333,15989.0,40.820402,-73.936315
334,17445.0,40.823877,-73.936443
335,19114.0,40.747029,-73.94537
336,20613.0,40.746325,-73.896403
337,6491.0,40.675496,-73.902819
338,20274.0,40.669376,-73.902047
339,14524.0,40.663801,-73.900444
340,11397.0,40.706994,-73.953481
341,20689.0,40.703855,-73.947387
342,10576.0,40.681745,-73.837631
343,1425.0,40.684364,-73.832181
344,37147.0,40.685975,-73.824713
345,5001.0,40.668234,-73.834058
346,8605.0,40.600138,-73.76152
347,78816.0,40.747257,-73.945112
348,6806.0,40.743973,-73.949876
349,41065.0,40.857188,-73.867607
350,23912.0,40.865481,-73.867393
351,14939.0,40.871387,-73.867135
352,32778.0,40.877796,-73.866255
353,14834.0,40.883767,-73.862736
354,18925.0,40.887887,-73.860505
355,23347.0,40.893386,-73.857265
356,24318.0,40.646343,-73.994551
357,19554.0,40.640872,-73.994229
358,27521.0,40.619588,-73.998842
359,30151.0,40.613513,-74.000645
360,26785.0,40.607958,-74.001782
361,22474.0,40.604798,-73.998456
362,33830.0,40.601898,-73.993821
363,23118.0,40.658748,-73.899472
364,17017.0,40.650625,-73.899558
365,38727.0,40.700244,-73.941658
366,48830.0,40.697266,-73.935692
367,21415.0,40.693329,-73.928826
368,27567.0,40.689652,-73.922281
369,26750.0,40.68617,-73.916337
370,36225.0,40.677107,-73.865376
371,5993.0,40.679369,-73.85896
372,16166.0,40.679857,-73.851492
373,33003.0,40.680429,-73.843853
374,26757.0,40.837382,-73.887659
375,33974.0,40.840097,-73.879774
376,31753.0,40.841882,-73.873551
377,12313.0,40.848797,-73.868465
378,58317.0,40.635011,-74.011717
379,7565.0,40.631428,-74.005387
380,9284.0,40.620728,-73.990388
381,5901.0,40.617373,-73.985088
382,45105.0,40.612006,-73.982009
383,6321.0,40.603967,-73.980668
384,5843.0,40.597482,-73.979359
385,5584.0,40.592676,-73.978243
386,24237.0,40.625419,-73.996632
387,28326.0,40.597873,-73.986955
388,13579.0,40.588879,-73.983629
389,16523.0,40.697673,-73.927131
390,11534.0,40.702798,-73.907776
391,18476.0,40.704424,-73.903077
392,25697.0,40.706181,-73.89591
393,25451.0,40.816505,-73.907797
394,34558.0,40.819396,-73.901467
395,15156.0,40.822172,-73.896747
396,42218.0,40.82417,-73.893228
397,21614.0,40.829966,-73.891876
398,7593.0,40.67491,-73.957794
399,7691.0,40.670499,-73.958759
400,17651.0,40.698666,-73.919685
401,9209.0,40.660476,-73.830301
402,1409.0,40.608693,-73.816068
403,3465.0,40.588032,-73.813684
404,2245.0,40.585514,-73.820143
405,1130.0,40.583542,-73.82643
406,2709.0,40.580454,-73.837459
407,12337.0,40.63615,-73.978179
408,6440.0,40.625305,-73.975732
409,6896.0,40.620907,-73.975453
410,15158.0,40.615174,-73.974166
411,13021.0,40.609147,-73.972986
412,12134.0,40.596065,-73.973329
413,7673.0,40.580992,-73.974531
414,8899.0,40.843635,-73.836687
415,14758.0,40.846817,-73.832545
416,30103.0,40.852465,-73.828125
417,14260.0,40.858973,-73.855355
418,20489.0,40.888244,-73.83085
419,13865.0,40.682867,-73.91048
420,10812.0,40.677107,-73.898871
421,12745.0,40.678018,-73.891726
422,14693.0,40.679938,-73.884687
